Просмотры,Время просмотра (часы),Поделились,Постоянные зрители,Новые комментарии,Отказались от подписки,Новые подписчики,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Процент лайков,Средняя продолжительность просмотра,Дизлайки,Лайки
1622.0,83.1776,11.0,119.0,2.0,1.0,14.0,413.0,3.0489,532.0,3.38,12818.0,13.0,42.56,97.78,184.611196054254,1.0,44.0
729.0,24.9698,15.0,73.0,1.0,2.0,14.0,277.0,2.0829,350.0,3.5,7800.0,12.0,25.71,80.0,123.30765432098765,1.0,4.0
413.0,12.9029,2.0,53.0,0.0,1.0,5.0,200.0,1.6324,253.0,3.3,7001.0,4.0,21.0,77.78,112.470799031477,2.0,7.0
381.0,15.3981,1.0,54.0,1.0,2.0,6.0,133.0,2.0374,187.0,3.01,6482.0,4.0,28.68,87.5,145.49385826771652,2.0,14.0
439.0,17.3267,3.0,90.0,1.0,5.0,5.0,107.0,2.2284,197.0,3.03,7036.0,0.0,28.73,92.86,142.08683371298403,1.0,13.0
372.0,14.7699,1.0,86.0,1.0,7.0,2.0,111.0,1.8883,197.0,2.22,9771.0,-5.0,28.63,100.0,142.93451612903226,0.0,26.0
580.0,23.119,6.0,104.0,1.0,4.0,5.0,161.0,2.1887,265.0,2.05,16273.0,1.0,30.04,92.31,143.49724137931034,1.0,12.0
809.0,27.4602,4.0,131.0,1.0,28.0,5.0,258.0,2.0797,389.0,1.57,34599.0,-23.0,25.62,93.94,122.19619283065514,2.0,31.0
721.0,17.7463,0.0,102.0,0.0,13.0,8.0,240.0,2.1082,342.0,2.22,18434.0,-5.0,16.86,100.0,88.60843273231623,0.0,37.0
781.0,20.843,1.0,170.0,5.0,29.0,9.0,292.0,1.6905,462.0,1.25,39479.0,-20.0,18.68,100.0,96.07528809218951,0.0,24.0
1180.0,36.3062,7.0,174.0,6.0,95.0,10.0,419.0,1.9899,593.0,1.21,69432.0,-85.0,19.71,96.92,110.76467796610169,2.0,63.0
364.0,15.8,2.0,65.0,0.0,4.0,3.0,105.0,2.1412,170.0,2.98,6613.0,-1.0,28.49,90.91,156.26373626373626,1.0,10.0
267.0,10.9469,0.0,48.0,0.0,2.0,5.0,89.0,1.9489,137.0,4.25,3596.0,3.0,27.74,100.0,147.59865168539324,0.0,5.0
371.0,17.0727,1.0,50.0,0.0,3.0,7.0,89.0,2.6691,139.0,4.03,5428.0,4.0,33.09,100.0,165.66501347708896,0.0,5.0
252.0,12.2717,0.0,39.0,0.0,2.0,4.0,65.0,2.4231,104.0,3.68,3096.0,2.0,34.37,100.0,175.30999999999997,0.0,4.0
208.0,8.6925,0.0,41.0,0.0,2.0,4.0,62.0,2.0194,103.0,4.1,3076.0,2.0,28.7,100.0,150.44711538461542,0.0,5.0
